"species","sppgrp"
"limoncillo de monte","Mixed hardwood"
"Thomas' lidflower","Mixed hardwood"
"myrtle of the river","Mixed hardwood"
"Puerto Rico manac","Mixed hardwood"
"ilang-ilang","Mixed hardwood"
"wild cinnamon","Mixed hardwood"
"burro blanco","Mixed hardwood"
"caper","Mixed hardwood"
"Jamaican caper","Mixed hardwood"
"falseteeth","Mixed hardwood"
"broadleaf caper","Mixed hardwood"
"linguam","Mixed hardwood"
"crabwood","Mixed hardwood"
"papaya","Mixed hardwood"
"rabo de ranton","Mixed hardwood"
"gia verde","Mixed hardwood"
"wild honeytree","Mixed hardwood"
"Guyanese wild coffee","Mixed hardwood"
"crackopen","Mixed hardwood"
"golden shower","Mixed hardwood"
"pink shower","Mixed hardwood"
"apple blossom","Mixed hardwood"
"marbletree","Mixed hardwood"
"goatwood","Mixed hardwood"
"goatbush","Mixed hardwood"
"Panama rubbertree","Mixed hardwood"
"river sheoak","Mixed hardwood"
"beach sheoak","Mixed hardwood"
"Haitian catalpa","Mixed hardwood"
"pumpwood","Mixed hardwood"
"Spanish cedar","Mixed hardwood"
"pochote","Mixed hardwood"
"red rodwood","Mixed hardwood"
"cieneguillo","Mixed hardwood"
"curame","Mixed hardwood"
"guayabacon","Mixed hardwood"
"ausu","Mixed hardwood"
"punchberry","Mixed hardwood"
"twinberry","Mixed hardwood"
"guavaberry","Mixed hardwood"
"cercipo","Mixed hardwood"
"balsam of Tolu","Mixed hardwood"
"leathery colicwood","Mixed hardwood"
"Myrsine cubana","Mixed hardwood"
"Nectandra coriacea","Mixed hardwood"
"shinglewood","Mixed hardwood"
"Nectandra krugii","Mixed hardwood"
"Nectandra membranacea","Mixed hardwood"
"Nectandra patens","Mixed hardwood"
"Nectandra turbacensis","Mixed hardwood"
"saltwood","Mixed hardwood"
"kadam","Mixed hardwood"
"aquilon","Mixed hardwood"
"oleander","Mixed hardwood"
"African bird's-eye bush","Mixed hardwood"
"kapoktree","Mixed hardwood"
"almex","Mixed hardwood"
"St. John's bread","Mixed hardwood"
"lady of the night cactus","Mixed hardwood"
"Cereus hildmannianus","Mixed hardwood"
"day jessamine","Mixed hardwood"
"galen del monte","Mixed hardwood"
"night jessamine","Mixed hardwood"
"jointed sandmat","Mixed hardwood"
"hueso","Mixed hardwood"
"bridgotree","Mixed hardwood"
"white rosewood","Mixed hardwood"
"hueso prieto","Mixed hardwood"
"cabra blanca","Mixed hardwood"
"puntaj jayuya","Mixed hardwood"
"fatpork","Mixed hardwood"
"african teak","Mixed hardwood"
"silk-floss tree","Mixed hardwood"
"icaco coco plum","Mixed hardwood"
"bastard redwood","Mixed hardwood"
"star apple","Mixed hardwood"
"satinleaf","Mixed hardwood"
"camito de perro","Mixed hardwood"
"cassia","Mixed hardwood"
"laurel avispillo","Mixed hardwood"
"avispillo","Mixed hardwood"
"Ochroma pyramidale","Mixed hardwood"
"laurel espada","Mixed hardwood"
"black sweetwood","Mixed hardwood"
"loblolly sweetwood","Mixed hardwood"
"nemoca","Mixed hardwood"
"laurel sassafras","Mixed hardwood"
"laurel de paloma","Mixed hardwood"
"nemoca cimarrona","Mixed hardwood"
"Wright's laurel canelon","Mixed hardwood"
"peronia","Mixed hardwood"
"pincho palo de rosa","Mixed hardwood"
"chicharron amarillo","Mixed hardwood"
"abey amarillo","Mixed hardwood"
"guanabanilla","Mixed hardwood"
"blacklancewood","Mixed hardwood"
"haya","Mixed hardwood"
"wild chestnut","Mixed hardwood"
"tafetan","Mixed hardwood"
"red cappel","Mixed hardwood"
"Palicourea croceoides","Mixed hardwood"
"showy cappel","Mixed hardwood"
"cinnamon","Mixed hardwood"
"juniper berry","Mixed hardwood"
