"species","sppgrp"
"silver bush","Mixed hardwood"
"spathodea","Mixed hardwood"
"Spiraeanthemum samoense","Mixed hardwood"
"Spondias","Mixed hardwood"
"ngmui","Mixed hardwood"
"titmel","Mixed hardwood"
"fanaio","Mixed hardwood"
"Sterculia palauensis","Mixed hardwood"
"anthropophagorum","Mixed hardwood"
"Hawaii roughbush","Mixed hardwood"
"streblus","Mixed hardwood"
"chebtui, ebtui","Mixed hardwood"
"turpentine tree","Mixed hardwood"
"Miracle Berry","Mixed hardwood"
"asi","Mixed hardwood"
"popona","Mixed hardwood"
"asi vai","Mixed hardwood"
"nonu vao","Mixed hardwood"
"fena vao","Mixed hardwood"
"ohia ha","Mixed hardwood"
"syzygium","Mixed hardwood"
"puapua","Mixed hardwood"
"rhoifolia","Mixed hardwood"
"Guioa","Mixed hardwood"
"bochela uchererak, uch","Mixed hardwood"
"vilivili","Mixed hardwood"
"Haplolobus floribundus","Mixed hardwood"
"fa`aili","Mixed hardwood"
"denticulata","Mixed hardwood"
"Hedycarya","Mixed hardwood"
"Fosbergs starviolet","Mixed hardwood"
"manono","Mixed hardwood"
"starviolet","Mixed hardwood"
"variable starviolet","Mixed hardwood"
"white moho","Mixed hardwood"
"heliocarpus","Mixed hardwood"
"ufa","Mixed hardwood"
"ufa halemtano","Mixed hardwood"
"Heritiera","Mixed hardwood"
"pipi","Mixed hardwood"
"pua, Chinese lantern tree","Mixed hardwood"
"Hernandia ovigera","Mixed hardwood"
"Hernandia","Mixed hardwood"
"Hernandia labyrinthica","Mixed hardwood"
"Lanai island-aster","Mixed hardwood"
"Maui island-aster","Mixed hardwood"
"Kauai island-aster","Mixed hardwood"
"island-aster","Mixed hardwood"
"toyon","Mixed hardwood"
"palma brava","Mixed hardwood"
"para rubber tree","Mixed hardwood"
"hau kuahiwi","Mixed hardwood"
"lava hau kuahiwi","Mixed hardwood"
"Kauai hau kuahiwi","Mixed hardwood"
"Kilauea hau kuahiwi","Mixed hardwood"
"Hualalai hau kuahiwi","Mixed hardwood"
"hibiscadelphus","Mixed hardwood"
"Maui hau kuahiwi","Mixed hardwood"
"Woods hau kuahiwi","Mixed hardwood"
"white rosemallow","Mixed hardwood"
"Brackenridges rosemallow","Mixed hardwood"
"lemonyellow rosemallow","Mixed hardwood"
"red Kauai rosemallow","Mixed hardwood"
"red rosemallow","Mixed hardwood"
"pink tabebuia","Mixed hardwood"
"trumpet-tree","Mixed hardwood"
"Tabernaemontana aurantiaca","Mixed hardwood"
"Pulu","Mixed hardwood"
"Tabernaemontana rotensis","Mixed hardwood"
"manunu","Mixed hardwood"
"chestnutleaf trumpetbush","Mixed hardwood"
"tectona","Mixed hardwood"
"kehma","Mixed hardwood"
"esemiich, chesemiich","Mixed hardwood"
"malili","Mixed hardwood"
"talie","Mixed hardwood"
"Flynnsohe","Mixed hardwood"
"Koolau Rangeohe","Mixed hardwood"
"Hawaii ohe","Mixed hardwood"
"ohe ohe","Mixed hardwood"
"ohe mauka","Mixed hardwood"
"tetraplasandra","Mixed hardwood"
"Mt. Waialeale ohe","Mixed hardwood"
"ohe kiko ola","Mixed hardwood"
"Florida clover ash","Mixed hardwood"
"thespesia","Mixed hardwood"
"mulga","Mixed hardwood"
"auri","Mixed hardwood"
"small Philippine acacia","Mixed hardwood"
"koa","Mixed hardwood"
"koaoha","Mixed hardwood"
"blackwood","Mixed hardwood"
"South Wales wattle","Mixed hardwood"
"beadtree","Mixed hardwood"
"Titimel","Mixed hardwood"
"mesecheues","Mixed hardwood"
"karasyu, marasau","Mixed hardwood"
"laga ali","Mixed hardwood"
"Aglaia","Mixed hardwood"
"Olomea","Mixed hardwood"
"Aidia racemosa","Mixed hardwood"
"Chinese albizia","Mixed hardwood"
"ukall ra ngebard","Mixed hardwood"
"whiteflower albizia","Mixed hardwood"
"albizia","Mixed hardwood"
"Hawaii alectryon","Mixed hardwood"
"alectryon","Mixed hardwood"
"aleurites","Mixed hardwood"
"lumbang","Mixed hardwood"
"largeleaf rosemallow","Mixed hardwood"
"Dixie rosemallow","Mixed hardwood"
"rosemallow","Mixed hardwood"
"white Kauai rosemallow","Mixed hardwood"
"Homalium whitmeeanum","Mixed hardwood"
"chemeklachel, eumail","Mixed hardwood"
"ersachel","Mixed hardwood"
"Horsfieldia nunu","Mixed hardwood"
"chersachel","Mixed hardwood"
"Horsfieldia","Mixed hardwood"
"nightblooming cactus","Mixed hardwood"
"Canary Island St. Johnswort","Mixed hardwood"
"Hawaii holly","Mixed hardwood"
"English holly","Mixed hardwood"
"mate","Mixed hardwood"
"ifi","Mixed hardwood"
"ifilele","Mixed hardwood"
"jacaranda","Mixed hardwood"
"Molokai treecotton","Mixed hardwood"
"Hawaii treecotton","Mixed hardwood"
"Kauai treecotton","Mixed hardwood"
"Wailupe Valley treecotton","Mixed hardwood"
"treecotton","Mixed hardwood"
"burgan","Mixed hardwood"
"Kunzea","Mixed hardwood"
"summit labordia","Mixed hardwood"
"bog labordia","Mixed hardwood"
"mountain labordia","Mixed hardwood"
"Waianae Range labordia","Mixed hardwood"
"Wahiawa Mountain labordia","Mixed hardwood"
"glorytree","Mixed hardwood"
"princess-flower","Mixed hardwood"
"Timonius corymbosus","Mixed hardwood"
"Timonius mollis","Mixed hardwood"
"Timonius","Mixed hardwood"
"Timonius subauritus","Mixed hardwood"
"Timonius timon","Mixed hardwood"
"olona","Mixed hardwood"
"touchardia","Mixed hardwood"
"velvetleaf soldierbush","Mixed hardwood"
"soldierbush","Mixed hardwood"
"magele","Mixed hardwood"
"oriental trema","Mixed hardwood"
"trema","Mixed hardwood"
"Trichospermum ikutai","Mixed hardwood"
"elsau, oleiulakersus","Mixed hardwood"
"maouli","Mixed hardwood"
"faia","Mixed hardwood"
"hopue","Mixed hardwood"
"opuhe","Mixed hardwood"
"urera","Mixed hardwood"
"Manila palm","Mixed hardwood"
"mu oil tree","Mixed hardwood"
"vernicia","Mixed hardwood"
"bars, beokel","Mixed hardwood"
"smallflower chastetree","Mixed hardwood"
"chastetree","Mixed hardwood"
"simpleleaf chastetree","Mixed hardwood"
"Allophylus","Mixed hardwood"
"chebeludes","Mixed hardwood"
"ebeludes, chebeludes","Mixed hardwood"
"Nepal alder","Mixed hardwood"
"chelebiob, elebiong","Mixed hardwood"
"Hawaii kauilatree","Mixed hardwood"
"Alphitonia","Mixed hardwood"
"toi","Mixed hardwood"
"deviltree","Mixed hardwood"
"Alstonia pacifica","Mixed hardwood"
"alstonia","Mixed hardwood"
"Anacolosa insularis","Mixed hardwood"
"dermarm","Mixed hardwood"
"Annona","Mixed hardwood"
"Kapua china laurel","Mixed hardwood"
"Antidesma kusaiense","Mixed hardwood"
"ha a","Mixed hardwood"
"Antidesma ponapense","Mixed hardwood"
"hame","Mixed hardwood"
"Antidesma sphaerocarpum","Mixed hardwood"
"chinalaurel","Mixed hardwood"
"Antirhea inconspicua","Mixed hardwood"
"New Caledonia pine","Mixed hardwood"
"Norfolk Island Pine","Mixed hardwood"
"Araucaria","Mixed hardwood"
"Alexandra palm","Mixed hardwood"
"shoebutton","Mixed hardwood"
"nettlespurge","Mixed hardwood"
"ketoguit","Mixed hardwood"
"labordia","Mixed hardwood"
"paleflower labordia","Mixed hardwood"
"Lanai labordia","Mixed hardwood"
"Nevada peavine","Mixed hardwood"
"Langsat","Mixed hardwood"
"bluelatan","Mixed hardwood"
"large-leaf yellow teatree","Mixed hardwood"
"common teatree","Mixed hardwood"
"broom teatree","Mixed hardwood"
"teatree","Mixed hardwood"
"Leucaena insularum","Mixed hardwood"
"leadtree","Mixed hardwood"
"privet","Mixed hardwood"
"Lychee","Mixed hardwood"
"papaono","Mixed hardwood"
"Litsea","Mixed hardwood"
"fountain palm","Mixed hardwood"
"ateate","Mixed hardwood"
"Weinmannia affinis","Mixed hardwood"
"alpine false ohelo","Mixed hardwood"
"forest false ohelo","Mixed hardwood"
"montane false ohelo","Mixed hardwood"
"Oahu false ohelo","Mixed hardwood"
"Hawaii false ohelo","Mixed hardwood"
"Kohala false ohelo","Mixed hardwood"
"variableleaf false ohelo","Mixed hardwood"
"Skottsbergs false ohelo","Mixed hardwood"
"false ohelo","Mixed hardwood"
"hairy false ohelo","Mixed hardwood"
"lalanyog","Mixed hardwood"
"leilei","Mixed hardwood"
"Xylocarpus","Mixed hardwood"
"sawtooth logwood","Mixed hardwood"
"Hawaii brushholly","Mixed hardwood"
"Xylosma nelsonii","Mixed hardwood"
"Xylosma samoensis","Mixed hardwood"
"xylosma","Mixed hardwood"
"kawau","Mixed hardwood"
"Hawaii pricklyash","Mixed hardwood"
"Kauai pricklyash","Mixed hardwood"
"Oahu pricklyash","Mixed hardwood"
"pricklyash","Mixed hardwood"
"marlberry","Mixed hardwood"
"betelnut","Mixed hardwood"
"cabo-negro","Mixed hardwood"
"dugdug, Marianas breadfruit","Mixed hardwood"
"Artocarpus nobilis","Mixed hardwood"
"Marang","Mixed hardwood"
"meduu","Mixed hardwood"
"afia","Mixed hardwood"
"Astronidium navigatorum","Mixed hardwood"
"meskui","Mixed hardwood"
"Astronidium pickeringii","Mixed hardwood"
"Astronidium samoense","Mixed hardwood"
"Astronidium","Mixed hardwood"
"Astronidium subcordata","Mixed hardwood"
"ifi ifi","Mixed hardwood"
"Bilimbi","Mixed hardwood"
"Averrhoa","Mixed hardwood"
"biut","Mixed hardwood"
"Avicennia marina","Mixed hardwood"
"Avicennia","Mixed hardwood"
"Saitamu","Mixed hardwood"
"ralm","Mixed hardwood"
"bamboo","Mixed hardwood"
"langaasag","Mixed hardwood"
"falaga","Mixed hardwood"
"Barringtonia","Mixed hardwood"
"Bauhinia binata","Mixed hardwood"
"bauhinia","Mixed hardwood"
"Javanese bishopwood","Mixed hardwood"
"bishopwood","Mixed hardwood"
"bixa","Mixed hardwood"
"akupa","Mixed hardwood"
"ahakea lau nui","Mixed hardwood"
"Hawaii dogweed","Mixed hardwood"
"ahakea","Mixed hardwood"
"bocconia","Mixed hardwood"
"virgata","Mixed hardwood"
"vinegartree","Mixed hardwood"
"Egg Fruit / Canistel","Mixed hardwood"
"bakauaine, nana","Mixed hardwood"
"macadamia nut tree, pengua","Mixed hardwood"
"Macadamia","Mixed hardwood"
"Macadamia Nut","Mixed hardwood"
"bedel","Mixed hardwood"
"Macaranga grayana","Mixed hardwood"
"lau pata","Mixed hardwood"
"pengua","Mixed hardwood"
"macaranga","Mixed hardwood"
"lau fatu","Mixed hardwood"
"parasol leaf tree","Mixed hardwood"
"Macaranga thompsonii","Mixed hardwood"
"Mallotus palauensis","Mixed hardwood"
"kamala tree","Mixed hardwood"
"mallotus","Mixed hardwood"
"Mallotus tiliifolius","Mixed hardwood"
"manapau","Mixed hardwood"
"chopak","Mixed hardwood"
"Mammea","Mixed hardwood"
"kanit","Mixed hardwood"
"saipan mango","Mixed hardwood"
"ceara rubbertree","Mixed hardwood"
"manihot","Mixed hardwood"
"pani","Mixed hardwood"
"kohle","Mixed hardwood"
"Manilkara","Mixed hardwood"
"udeuid","Mixed hardwood"
"bkau, apgau","Mixed hardwood"
"kanawao","Mixed hardwood"
"angels-trumpet","Mixed hardwood"
"smallflower bruguiera","Mixed hardwood"
"Oriental mangrove","Mixed hardwood"
"bruguiera","Mixed hardwood"
"omail","Mixed hardwood"
"gasu","Mixed hardwood"
"omail, deuachel","Mixed hardwood"
"Buchanania","Mixed hardwood"
"dogtail","Mixed hardwood"
"Burckella richii","Mixed hardwood"
"French plantain","Mixed hardwood"
"bungeltuu","Mixed hardwood"
"tama","Mixed hardwood"
"tuu banana","Mixed hardwood"
"uhiuhi","Mixed hardwood"
"tamanu","Mixed hardwood"
"chesemolech","Mixed hardwood"
"olebtaches, chesemolech","Mixed hardwood"
"calophyllum","Mixed hardwood"
"calotropis","Mixed hardwood"
"Medusanthera carolinensis","Mixed hardwood"
"matamo","Mixed hardwood"
"Medusanthera","Mixed hardwood"
"alom","Mixed hardwood"
"Melastoma candidum","Mixed hardwood"
"Melastoma sanguineum","Mixed hardwood"
"melia","Mixed hardwood"
"mokihana","Mixed hardwood"
"Ballous melicope","Mixed hardwood"
"uahiapele","Mixed hardwood"
"Waianae Range melicope","Mixed hardwood"
"manena","Mixed hardwood"
"kukaemoa","Mixed hardwood"
"piloula","Mixed hardwood"
"leiohiiaka","Mixed hardwood"
"Haleakala melicope","Mixed hardwood"
"Haupa Mountain melicope","Mixed hardwood"
"mokihana kukae moa","Mixed hardwood"
"Monoa melicope","Mixed hardwood"
"Honolulu melicope","Mixed hardwood"
"Kaala melicope","Mixed hardwood"
"Olokele Valley melicope","Mixed hardwood"
"Kaholuamanu melicope","Mixed hardwood"
"Makaha Valley melicope","Mixed hardwood"
"Molokai melicope","Mixed hardwood"
"alani","Mixed hardwood"
"Oahu melicope","Mixed hardwood"
"Makawao melicope","Mixed hardwood"
"Honokahua melicope","Mixed hardwood"
"Hana melicope","Mixed hardwood"
"eggshape melicope","Mixed hardwood"
"pale melicope","Mixed hardwood"
"Lihue melicope","Mixed hardwood"
"boxfruit alani","Mixed hardwood"
"Kohala Summit melicope","Mixed hardwood"
"hairy melicope","Mixed hardwood"
"fourangle melicope","Mixed hardwood"
"kapu melicope","Mixed hardwood"
"soopini","Mixed hardwood"
"roundleaf melicope","Mixed hardwood"
"St. Johns melicope","Mixed hardwood"
"Mt. Kaala melicope","Mixed hardwood"
"melicope","Mixed hardwood"
"volcanic melicope","Mixed hardwood"
"alani wai","Mixed hardwood"
"kipuka piaula","Mixed hardwood"
"mao","Mixed hardwood"
"melochia","Mixed hardwood"
"hierba del soldado","Mixed hardwood"
"sayafe","Mixed hardwood"
"kelela charm, kiu","Mixed hardwood"
"mafoa","Mixed hardwood"
"lukerr","Mixed hardwood"
"Pili Nut","Mixed hardwood"
"Canarium","Mixed hardwood"
"maali","Mixed hardwood"
"Olasina","Mixed hardwood"
"scorpionbush","Mixed hardwood"
"fish tail palm","Mixed hardwood"
"Caryota","Mixed hardwood"
"fishtail palm","Mixed hardwood"
"keuert","Mixed hardwood"
"Casearia","Mixed hardwood"
"kassod tree","Mixed hardwood"
"Cassia","Mixed hardwood"
"gagu,australian pine","Mixed hardwood"
"trumpet tree","Mixed hardwood"
"faniok","Mixed hardwood"
"fagufagu","Mixed hardwood"
"Meryta","Mixed hardwood"
"collina","Mixed hardwood"
"ohia","Mixed hardwood"
"ohia lehua","Mixed hardwood"
"lehua papa","Mixed hardwood"
"lehua","Mixed hardwood"
"lehua ahihi","Mixed hardwood"
"Kauai bottlebrush","Mixed hardwood"
"ivory-nut palm","Mixed hardwood"
"sago palm","Mixed hardwood"
"Metroxylon","Mixed hardwood"
"Orange Champak","Mixed hardwood"
"velvet tree","Mixed hardwood"
"talafulu","Mixed hardwood"
"pinnata","Mixed hardwood"
"bulletwood, elengi","Mixed hardwood"
"treedaisy","Mixed hardwood"
"montanoa","Mixed hardwood"
"firetree","Mixed hardwood"
"bayberry","Mixed hardwood"
"ngel","Mixed hardwood"
"Morinda pedunculata","Mixed hardwood"
"morinda","Mixed hardwood"
"noni kuahiwi","Mixed hardwood"
"falseohe","Mixed hardwood"
"muntingia","Mixed hardwood"
"Celtis paniculata","Mixed hardwood"
"chuti","Mixed hardwood"
"emeridech","Mixed hardwood"
"leva","Mixed hardwood"
"chiute","Mixed hardwood"
"Cerbera spp","Mixed hardwood"
"sweetpotato cactus","Mixed hardwood"
"orange jessamine","Mixed hardwood"
"jessamine","Mixed hardwood"
"koko","Mixed hardwood"
"ekoko","Mixed hardwood"
"Herbsts sandmat","Mixed hardwood"
"kokomalei","Mixed hardwood"
"alpine sandmat","Mixed hardwood"
"Koolau Range sandmat","Mixed hardwood"
"sandmat","Mixed hardwood"
"Napali coast papala","Mixed hardwood"
"ellipticleaf papala","Mixed hardwood"
"broadleaf papala","Mixed hardwood"
"Koolau Range papala","Mixed hardwood"
"papala","Mixed hardwood"
"Waianae Range papala","Mixed hardwood"
"Domins club","Mixed hardwood"
"Fauries club","Mixed hardwood"
"olapa","Mixed hardwood"
"lapalapa","Mixed hardwood"
"cheirodendron","Mixed hardwood"
"olapalapa","Mixed hardwood"
"alaweo","Mixed hardwood"
"goosefoot","Mixed hardwood"
"meia","Mixed hardwood"
"blantalos","Mixed hardwood"
"tikap","Mixed hardwood"
"fei banana","Mixed hardwood"
"Mussaenda frondosa","Mixed hardwood"
"aloalo vao","Mixed hardwood"
"Mussaenda","Mixed hardwood"
"naio","Mixed hardwood"
"myoporum","Mixed hardwood"
"rodwood","Mixed hardwood"
"yamamomo, strawberry tree","Mixed hardwood"
"sweetgale","Mixed hardwood"
"atoneulu","Mixed hardwood"
"adepurot","Mixed hardwood"
"Myristica","Mixed hardwood"
"Myristica inutilis","Mixed hardwood"
"forest colicwood","Mixed hardwood"
"summit colicwood","Mixed hardwood"
"mountain colicwood","Mixed hardwood"
"streambank colicwood","Mixed hardwood"
"Koolau Range colicwood","Mixed hardwood"
"Wahiawa Bog colicwood","Mixed hardwood"
"Kauai colicwood","Mixed hardwood"
"Kokee colicwood","Mixed hardwood"
"Lanai colicwood","Mixed hardwood"
"kolea lau nui","Mixed hardwood"
"Hanapepe River colicwood","Mixed hardwood"
"swamp colicwood","Mixed hardwood"
"Molokai colicwood","Mixed hardwood"
"kokea lau lii","Mixed hardwood"
"colicwood","Mixed hardwood"
"Mt. Kahili colicwood","Mixed hardwood"
"fao","Mixed hardwood"
"afa","Mixed hardwood"
"Rambutan","Mixed hardwood"
"Hawaiian tree fern","Mixed hardwood"
"Chamissos manfern","Mixed hardwood"
"hapuu","Mixed hardwood"
"hapuu li","Mixed hardwood"
"manfern","Mixed hardwood"
"quinine","Mixed hardwood"
"cinchona","Mixed hardwood"
"Padang cassia","Mixed hardwood"
"ochod","Mixed hardwood"
"matieu","Mixed hardwood"
"fiddlewood","Mixed hardwood"
"Lime (Tipolo)","Mixed hardwood"
"grapefruit, kahet magas","Mixed hardwood"
"limon china","Mixed hardwood"
"kahet, wild orange","Mixed hardwood"
"calamondin, kingkang","Mixed hardwood"
"koee","Mixed hardwood"
"Claoxylon fallax","Mixed hardwood"
"Claoxylon longiracemosum","Mixed hardwood"
"katteknau, katot","Mixed hardwood"
"poola","Mixed hardwood"
"claoxylon","Mixed hardwood"
"Cleistanthus carolinianus","Mixed hardwood"
"Cleistanthus insularis","Mixed hardwood"
"Cleistanthus","Mixed hardwood"
"oha wai nui Clermontia","Mixed hardwood"
"oha wai nui","Mixed hardwood"
"Kauai clermontia","Mixed hardwood"
"Kohala Mountain clermontia","Mixed hardwood"
"haha aiakamanu","Mixed hardwood"
"bog clermontia","Mixed hardwood"
"oha kepau","Mixed hardwood"
"forest clermontia","Mixed hardwood"
"Waipio Valley clermontia","Mixed hardwood"
"hillside clermontia","Mixed hardwood"
"Maui clermontia","Mixed hardwood"
"Mauna Loa clermontia","Mixed hardwood"
"Oahu clermontia","Mixed hardwood"
"Wailai Pali clermontia","Mixed hardwood"
"smallflower clermontia","Mixed hardwood"
"pele clermontia","Mixed hardwood"
"Waioiani clermontia","Mixed hardwood"
"Hamakua clermontia","Mixed hardwood"
"Clermontia singuliflora","Mixed hardwood"
"clermontia","Mixed hardwood"
"Haleakala clermontia","Mixed hardwood"
"swampforest clermontia","Mixed hardwood"
"maaloa","Mixed hardwood"
"keahi","Mixed hardwood"
"Hawaii olive","Mixed hardwood"
"nestegis","Mixed hardwood"
"kalm, aralm","Mixed hardwood"
"tree tobacco","Mixed hardwood"
"tobacco","Mixed hardwood"
"smallflower aiea","Mixed hardwood"
"broadleaf aiea","Mixed hardwood"
"longleaf aiea","Mixed hardwood"
"Oahu aiea","Mixed hardwood"
"aiea","Mixed hardwood"
"kaala rockwort","Mixed hardwood"
"Hawaii rockwort","Mixed hardwood"
"toechel, teuechel","Mixed hardwood"
"ochna","Mixed hardwood"
"Thomas birds-eye bush","Mixed hardwood"
"holei","Mixed hardwood"
"island yellowwood","Mixed hardwood"
"Kauai yellowwood","Mixed hardwood"
"Hawaii yellowwood","Mixed hardwood"
"langiti","Mixed hardwood"
"oleandra fern","Mixed hardwood"
"olive","Mixed hardwood"
"fanuamamala","Mixed hardwood"
"Homalanthus","Mixed hardwood"
"cochineal nopal cactus","Mixed hardwood"
"tuna cactus","Mixed hardwood"
"common pricklypear","Mixed hardwood"
"pricklypear","Mixed hardwood"
"amansis, edebsungelked, necklace bead tree","Mixed hardwood"
"Osmoxylon","Mixed hardwood"
"miich era ngebard, guiana chestnut","Mixed hardwood"
"stickbush","Mixed hardwood"
"Natal glorybower","Mixed hardwood"
"turks turbin","Mixed hardwood"
"velvetleaf glorybower","Mixed hardwood"
"glorybower","Mixed hardwood"
"attorney","Mixed hardwood"
"coffee","Mixed hardwood"
"uab, chuchab","Mixed hardwood"
"Asian nakedwood","Mixed hardwood"
"kauila","Mixed hardwood"
"nakedwood","Mixed hardwood"
"ochaol","Mixed hardwood"
"Mao","Mixed hardwood"
"chertochet","Mixed hardwood"
"matal","Mixed hardwood"
"ongor","Mixed hardwood"
"silaue","Mixed hardwood"
"kienpel","Mixed hardwood"
"pahong","Mixed hardwood"
"moak","Mixed hardwood"
"hara","Mixed hardwood"
"aggag","Mixed hardwood"
"nenketak","Mixed hardwood"
"pacheren","Mixed hardwood"
"buuk","Mixed hardwood"
"siu","Mixed hardwood"
"lakatwa","Mixed hardwood"
"erwan, jonmouia","Mixed hardwood"
"intekul, pasyure","Mixed hardwood"
"ongor, ertochet","Mixed hardwood"
"menne","Mixed hardwood"
"Palaquium karrak","Mixed hardwood"
"Pandanus odontoides","Mixed hardwood"
"peet","Mixed hardwood"
"alwan, kipal, taip","Mixed hardwood"
"deipw, jomineia","Mixed hardwood"
"pathaplip","Mixed hardwood"
"fasa","Mixed hardwood"
"magojokojok","Mixed hardwood"
"screwpine","Mixed hardwood"
"Tahitian screwpine","Mixed hardwood"
"kiparenwel","Mixed hardwood"
"mojel","Mixed hardwood"
"berrakelongor","Mixed hardwood"
"rauel","Mixed hardwood"
"lonlin, lajokorer","Mixed hardwood"
"sea","Mixed hardwood"
"ais","Mixed hardwood"
"Parinari","Mixed hardwood"
"Parkia korom","Mixed hardwood"
"kmekumer","Mixed hardwood"
"paloverde","Mixed hardwood"
"ngis","Mixed hardwood"
"Pericopsis mooniana","Mixed hardwood"
"olomea","Mixed hardwood"
"Phaleria nisidai","Mixed hardwood"
"Canary Island date palm","Mixed hardwood"
"date palm","Mixed hardwood"
"Chinese  photinia","Mixed hardwood"
"forest mirrorplant","Mixed hardwood"
"koi","Mixed hardwood"
"Oahu mirrorplant","Mixed hardwood"
"alpine mirrorplant","Mixed hardwood"
"Maui mirrorplant","Mixed hardwood"
"pubescent mirrorplant","Mixed hardwood"
"woodland mirrorplant","Mixed hardwood"
"mirrorplant","Mixed hardwood"
"olena","Mixed hardwood"
"Tou","Mixed hardwood"
"fragrant manjack","Mixed hardwood"
"Cordia micronesica","Mixed hardwood"
"cordia","Mixed hardwood"
"kou","Mixed hardwood"
"tiplant","Mixed hardwood"
"cordyline","Mixed hardwood"
"redgum","Mixed hardwood"
"redflower gum","Mixed hardwood"
"red bloodwood","Mixed hardwood"
"karaka nut","Mixed hardwood"
"alaa","Mixed hardwood"
"pouteria","Mixed hardwood"
"ahgao","Mixed hardwood"
"Premna pubescens","Mixed hardwood"
"aloalo","Mixed hardwood"
"Premna","Mixed hardwood"
"corynocarpus","Mixed hardwood"
"sacred garlic pear","Mixed hardwood"
"houka, calabash","Mixed hardwood"
"longbeak rattlebox","Mixed hardwood"
"Cryptocarya oreophila","Mixed hardwood"
"laulilii","Mixed hardwood"
"holio","Mixed hardwood"
"cryptocarya","Mixed hardwood"
"pamakani mahu","Mixed hardwood"
"Pimenta","Mixed hardwood"
"chebouch, demailei","Mixed hardwood"
"maritime pine","Mixed hardwood"
"Waimea pipturus","Mixed hardwood"
"soga","Mixed hardwood"
"pipturus","Mixed hardwood"
"piscidia","Mixed hardwood"
"Australasian catchbirdtree","Mixed hardwood"
"grand devils-claws","Mixed hardwood"
"aulu","Mixed hardwood"
"catchbirdtree","Mixed hardwood"
"umbrella catchbirdtree","Mixed hardwood"
"Kauai catchbirdtree","Mixed hardwood"
"Mona cheesewood, Pittosporum","Mixed hardwood"
"Hawaii poisonberry tree","Mixed hardwood"
"hoawa","Mixed hardwood"
"Waianae Range cheesewood","Mixed hardwood"
"Waialeale cheesewood","Mixed hardwood"
"Koolau Range cheesewood","Mixed hardwood"
"Hawaii cheesewood","Mixed hardwood"
"Kona cheesewood","Mixed hardwood"
"Kauai cheesewood","Mixed hardwood"
"Japanese cedar","Mixed hardwood"
"Haleakala cyanea","Mixed hardwood"
"palmtree cyanea","Mixed hardwood"
"Kauai cyanea","Mixed hardwood"
"Degeners cyanea","Mixed hardwood"
"Kilauea Mauna cyanea","Mixed hardwood"
"wetforest cyanea","Mixed hardwood"
"Oahu cyanea","Mixed hardwood"
"prickly cyanea","Mixed hardwood"
"Limahuli Valley cyanea","Mixed hardwood"
"Kunths cyanea","Mixed hardwood"
"giant kokee cyanea","Mixed hardwood"
"purple cyanea","Mixed hardwood"
"Marks cyanea","Mixed hardwood"
"hairy cyanea","Mixed hardwood"
"pohaku cyanea","Mixed hardwood"
"Molokai cyanea","Mixed hardwood"
"manyfruit cyanea","Mixed hardwood"
"oakleaf cyanea","Mixed hardwood"
"plateau delissea","Mixed hardwood"
"pua kala","Mixed hardwood"
"cyanea","Mixed hardwood"
"Kaiholena cyanea","Mixed hardwood"
"Mt. Kaala cyanea","Mixed hardwood"
"aku aku","Mixed hardwood"
"Coopers cyathea","Mixed hardwood"
"olioli","Mixed hardwood"
"kattar","Mixed hardwood"
"treefern","Mixed hardwood"
"remiang","Mixed hardwood"
"Cycas","Mixed hardwood"
"ola","Mixed hardwood"
"gulos","Mixed hardwood"
"tree-tomato","Mixed hardwood"
"cyrtandra","Mixed hardwood"
"Cyrtandra","Mixed hardwood"
"forest cyrtandra","Mixed hardwood"
"royal cheesewood","Mixed hardwood"
"Taiwanese cheesewood","Mixed hardwood"
"cheesewood","Mixed hardwood"
"cream cheesewood","Mixed hardwood"
"Australian cheesewood","Mixed hardwood"
"cape cheesewood","Mixed hardwood"
"mamalava","Mixed hardwood"
"Planchonella","Mixed hardwood"
"Hawaii pilo kea","Mixed hardwood"
"Maui pilo kea","Mixed hardwood"
"platydesma","Mixed hardwood"
"golden hala pepe","Mixed hardwood"
"Maui hala pepe","Mixed hardwood"
"Lanai hala pepe","Mixed hardwood"
"Waianae Range hala pepe","Mixed hardwood"
"royal hala pepe","Mixed hardwood"
"Hawaii hala pepe","Mixed hardwood"
"hala pepe","Mixed hardwood"
"Plumeria","Mixed hardwood"
"bungaruau","Mixed hardwood"
"Polyscias macgillivrayi","Mixed hardwood"
"bngei","Mixed hardwood"
"tagitagi","Mixed hardwood"
"shield aralia","Mixed hardwood"
"Polyscias","Mixed hardwood"
"tava","Mixed hardwood"
"kattai","Mixed hardwood"
"Ponapea ledermanniana","Mixed hardwood"
"Ponapea","Mixed hardwood"
"kisaks","Mixed hardwood"
"Abiu","Mixed hardwood"
"elangel, chelangel","Mixed hardwood"
"eggfruit","Mixed hardwood"
"lalahag","Mixed hardwood"
"Hawaii delissea","Mixed hardwood"
"cutleaf delissea","Mixed hardwood"
"Niihau delissea","Mixed hardwood"
"smallflower delissea","Mixed hardwood"
"delissea","Mixed hardwood"
"leechleaf delissea","Mixed hardwood"
"delonix","Mixed hardwood"
"salato","Mixed hardwood"
"kahtat","Mixed hardwood"
"Dendrocnide","Mixed hardwood"
"redpalm","Mixed hardwood"
"shrubby dillenia","Mixed hardwood"
"mabolo","Mixed hardwood"
"Mabolo","Mixed hardwood"
"Black sapote","Mixed hardwood"
"anume","Mixed hardwood"
