"StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","Stand_CN","time","FOR","hard_pulp","soft_pulp","hard_saw","soft_saw","tot_tC_ac_100"
"OAK_BAU",2019,20.4485454559326,12.003475189209,4.50083303451538,1.30629885196686,0.249770909547806,3.98949575424194,1.13665056228638,0.699999988079071,32.3315963745117,3.86329960823059,0,"189295991020004",5,"OAK",0.53898933102885,0,0.55013526780177,0,1.08912459883062
"OAK_BAU",2024,25.168119430542,14.2038478851318,5.83794736862183,1.34587454795837,1.04975247383118,4.72089290618896,1.14876389503479,0.939999997615814,40.211353302002,0.223471596837044,0,"189295991020004",10,"OAK",0.0290722880859341,0.000655239129580889,0.0312985522078718,0,0.0610260794233868
"OAK_BAU",2029,30.2997150421143,16.9559326171875,7.0786337852478,1.33381652832031,1.17500996589661,5.30037403106689,1.39315128326416,1.28000009059906,47.8606986999512,0,0,"189295991020004",15,"OAK",0,0,0,0,0
"OAK_BAU",2034,31.2500114440918,18.0021533966064,7.46394348144531,1.9544677734375,3.23140048980713,6.26486444473267,1.64298295974731,1.28000009059906,53.0876693725586,0.317830592393875,0,"189295991020004",20,"OAK",0.036415219308242,0.000120236631246926,0.0481384366177752,0.0023933532461503,0.0870672458034144
"OAK_BAU",2039,32.6904449462891,18.9301776885986,7.89230251312256,2.22177290916443,2.05471873283386,7.57740354537964,1.78603661060333,1.28000009059906,55.5026779174805,0.771393060684204,0,"189295991020004",25,"OAK",0.081761921211107,0.000212786570009398,0.120979653661619,0.00650918562420088,0.209463547066936
"OAK_GROW",2014,20.8799705505371,12.8014106750488,4.64400148391724,0.050516277551651,0.312044978141785,3.09593296051025,3.51682353019714,0.560000002384186,33.0592918395996,0,0,"189295991020004",0,"OAK",0,0,0,0,0
"OAK_GROW",2019,25.9538860321045,15.8667755126953,5.71176815032959,0.0953634008765221,0.249770909547806,2.493896484375,1.04068839550018,0.699999988079071,36.2453727722168,0,0,"189295991020004",5,"OAK",0,0,0,0,0
"OAK_GROW",2024,31.0487937927246,18.433708190918,7.11089515686035,0.385965287685394,1.43788886070251,3.87011885643005,1.28578770160675,0.939999997615814,46.0794486999512,0,0,"189295991020004",10,"OAK",0,0,0,0,0
"OAK_GROW",2029,33.8171577453613,20.1356468200684,7.8149881362915,0.987548649311066,3.05384492874146,5.23440027236938,1.54697048664093,1.28000009059906,53.7349090576172,0,0,"189295991020004",15,"OAK",0,0,0,0,0
"OAK_GROW",2034,35.3863830566406,21.5909729003906,8.23265075683594,1.45309591293335,3.13546872138977,7.23513221740723,1.7174391746521,1.28000009059906,58.4401626586914,0,0,"189295991020004",20,"OAK",0,0,0,0,0
"OAK_GROW",2039,36.8327293395996,22.7475051879883,8.65729427337646,1.74795663356781,2.83802461624146,7.96574115753174,1.86639773845673,1.28000009059906,61.1881408691406,0,0,"189295991020004",25,"OAK",0,0,0,0,0
"OAK_BAU",2014,25.0541667938232,15.0916347503662,5.6013126373291,1.25820362567902,0,4.06391906738281,3.88109803199768,0.560000002384186,40.4187049865723,3.91650438308716,0,"189296012020004",0,"OAK",0.490827729621868,0.00927505585904254,0.458932452292969,0.0479366875734993,1.00697192534738
"OAK_BAU",2019,29.6958751678467,17.4123477935791,6.48624181747437,2.30157613754272,1.7681200504303,3.93851327896118,3.13975834846497,0.699999988079071,48.030086517334,2.74283194541931,0,"189296012020004",5,"OAK",0.199422300232103,0.0102342122744268,0.437648779585709,0.0277397210933039,0.675045013185543
