"CaseID","StandID","Year","Age","Tpa","BA","SDI","CCF","TopHt","QMD","MCuFt","SCuFt","SBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","ATBA","ATSDI","ATCCF","ATTopHt","ATQMD","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","Stand_CN"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2025,80,998,68,152,180,73,3.53570103645325,1190,488,2579,0,0,0,0,68,152,180,73,3.53570103645325,5,61,15,14.875,803,2,3,"291609880489998"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2030,85,926,85,189,216,74,4.10339164733887,1419,570,2988,0,0,0,0,85,189,216,74,4.10339164733887,5,94,2,16.6941184997559,803,2,3,"291609880489998"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2035,90,918,112,241,268,75,4.73130416870117,1881,787,3875,0,0,0,0,112,241,268,75,4.73130416870117,5,105,37,20.8999996185303,803,2,2,"291609880489998"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2040,95,842,128,266,292,75,5.28128719329834,2220,908,4691,0,0,0,0,128,266,292,75,5.28128719329834,5,86,37,23.3684215545654,801,2,2,"291609880489998"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2045,100,785,145,295,321,76,5.8218502998352,2466,1056,5380,0,0,0,0,145,295,321,76,5.8218502998352,0,0,0,24.6599998474121,801,1,2,"291609880489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2016,61,2169,102,207,267,62,2.93650412559509,1747,977,4596,0,0,0,0,102,207,267,62,2.93650412559509,5,36,173,28.6393451690674,520,1,2,"291609881489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2021,66,1799,73,165,214,63,2.72309613227844,1063,390,1621,0,0,0,0,73,165,214,63,2.72309613227844,5,45,33,16.1060600280762,506,2,3,"291609881489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2026,71,1706,86,206,257,64,3.03900027275085,1122,307,1416,0,0,0,0,86,206,257,64,3.03900027275085,5,40,12,15.8028173446655,506,2,2,"291609881489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2031,76,1549,101,242,298,66,3.46277928352356,1261,318,1449,0,0,0,0,101,242,298,66,3.46277928352356,5,43,7,16.5921058654785,503,2,2,"291609881489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2036,81,1440,116,272,335,66,3.85086917877197,1440,434,2053,0,0,0,0,116,272,335,66,3.85086917877197,5,48,6,17.7777786254883,503,2,2,"291609881489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2041,86,1357,131,298,365,67,4.2043604850769,1650,634,2824,0,0,0,0,131,298,365,67,4.2043604850769,5,77,6,19.1860466003418,503,2,2,"291609881489998"
"ed5d257a-266e-47bf-994e-330dcec00d3e","MBB_GROW",2046,91,1291,145,322,391,68,4.53862428665161,2004,887,4220,0,0,0,0,145,322,391,68,4.53862428665161,0,0,0,22.0219783782959,506,2,1,"291609881489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2016,63,1761,173,272,250,92,4.23796701431274,4933,3803,19908,0,0,0,0,173,272,250,92,4.23796701431274,5,109,76,78.3015899658203,801,1,1,"291609727489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2021,68,1531,186,311,287,93,4.71358966827393,5098,4095,21711,0,0,0,0,186,311,287,93,4.71358966827393,5,99,68,74.970588684082,801,1,1,"291609727489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2026,73,1310,202,352,341,94,5.32190561294556,5252,4310,23750,0,0,0,0,202,352,341,94,5.32190561294556,5,88,88,71.9452056884766,801,1,1,"291609727489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2031,78,1055,202,346,337,95,5.91951513290405,5250,4390,24492,0,0,0,0,202,346,337,95,5.91951513290405,5,82,75,67.3076934814453,801,1,1,"291609727489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2036,83,890,202,341,334,96,6.44371509552002,5285,4568,25683,0,0,0,0,202,341,334,96,6.44371509552002,5,86,76,63.6746978759766,801,1,1,"291609727489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2041,88,760,202,335,329,97,6.9716854095459,5333,4661,26810,0,0,0,0,202,335,329,97,6.9716854095459,5,79,78,60.6022720336914,801,1,1,"291609727489998"
"c81cbcbe-2e4f-4be9-8104-6eb333cfc280","MBB_GROW",2046,93,654,201,330,321,98,7.51871109008789,5337,4761,27946,0,0,0,0,201,330,321,98,7.51871109008789,0,0,0,57.3870964050293,801,1,1,"291609727489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2016,55,2820,109,212,234,76,2.65731620788574,2271,1403,7284,0,0,0,0,109,212,234,76,2.65731620788574,5,127,19,41.2909088134766,801,1,2,"291609728489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2021,60,2370,135,270,292,80,3.22855949401855,2810,1740,9225,0,0,0,0,135,270,292,80,3.22855949401855,5,136,30,46.8333320617676,801,1,2,"291609728489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2026,65,1879,165,334,365,83,4.01851415634155,3341,2329,12498,0,0,0,0,165,334,365,83,4.01851415634155,5,166,78,51.4000015258789,801,1,1,"291609728489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2031,70,1153,177,332,361,86,5.30006313323975,3779,2637,14815,0,0,0,0,177,332,361,86,5.30006313323975,5,157,115,53.9857139587402,801,1,1,"291609728489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2036,75,766,176,310,334,86,6.49404144287109,3989,2736,15429,0,0,0,0,176,310,334,86,6.49404144287109,5,126,93,53.1866683959961,801,1,1,"291609728489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2041,80,577,175,294,311,86,7.46339464187622,4152,3747,20576,0,0,0,0,175,294,311,86,7.46339464187622,5,148,112,51.9000015258789,805,1,1,"291609728489998"
"30f0bc6d-0fe9-4ae5-ac62-7b5ea32519b6","MBB_GROW",2046,85,419,175,279,287,86,8.74359130859375,4336,4025,22862,0,0,0,0,175,279,287,86,8.74359130859375,0,0,0,51.0117645263672,805,1,1,"291609728489998"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2015,60,2301,89,180,217,77,2.66337609291077,1697,821,4098,0,0,0,0,89,180,217,77,2.66337609291077,5,51,116,28.283332824707,520,2,2,"291609162489998"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2020,65,1577,77,164,184,82,2.98362421989441,1376,659,3072,0,0,0,0,77,164,184,82,2.98362421989441,5,87,20,21.1692314147949,801,1,2,"291609162489998"
"368f449f-3deb-4d14-ae12-3cf4eba73429","MBB_GROW",2025,70,1466,95,211,231,86,3.44700407981873,1711,779,3811,0,0,0,0,95,211,231,86,3.44700407981873,5,77,12,24.4428577423096,801,1,2,"291609162489998"
